mission,title,subtitle,author,type,desc
Purpose,A Joseph Campbell Companion,Reflections on the Art of Living,Joseph Campbell,Philosopher's Notes,"Joseph Campbell occupies the Grandfather slot in my spiritual family tree and this book is an incredible collection of some of his most inspiring wisdom. In the Note, we'll explore a range of Big Ideas from what it means to (and how to!) follow our bliss as we rock our hero's journey to learning that we've gotta be willing to break some eggs if we want to make omelets (aka, we've gotta be willing to make mistakes as we grow!)."
Purpose,Noble Purpose,The Joy of Living a Meaningful Life,William Damon,Philosopher's Notes,"William Damon is one of the world’s leading scientists studying human development and the psychology of morality. In this book, he gives us a guide to discovering and creating our noble purpose. Big Ideas we explore include making a distinction between noble and heroic, the ultimate purpose formula, 9 tips on how to cultivate your noble purpose, the one phrase your advisor should whisper in your ears when you’ve achieved ultimate success, and how to create true, sustainable happiness."
Purpose,The Path to Purpose,How Young People Find Their Calling in Life,William Damon,Philosopher's Notes,"This book is a scientific look at Purpose by one of the world’s leading developmental psychologists—a powerful look at how to cultivate purpose in our children (and, for that matter, ourselves) and why it’s so important. Big Ideas we explore include a definition of what it means to be purposeful (and a look at the alternatives), the #1 thing that gets in the way of discovering and creating purpose, 9 key things parents can do to help their kids with purpose, why entrepreneurial spirit is so important and a four-word mantra to reduce timidity and build courage and confidence."
Purpose,A Round of Golf with My Father,The New Psychology of Exploring Your Past to Make Peace with Your Present,William Damon,Philosopher's Notes,"This is our fourth note on one of William Damon's books. Professor Damon is one of the world’s leading scholars on human development across the lifespan. He’s also an incredibly good human being. In this book, William Damon helps us create a “coherent narrative” for our lives by, as per the sub-title, “Exploring Your Past to Make Peace with Your Present.” It’s FANTASTIC. We'll explore the three primary aspects of a 'life review' and a ton of other Big Ideas. Let’s jump straight in!"
Purpose,The Power of Ideals,The Real Story of Moral Choice,"William Damon, Anne Colby",Philosopher's Notes,"William Damon and Anne Colby are two of the world’s leading researchers in the field of moral psychology. They’re both Professors at Stanford and have been married for 30+ years. This is a thoughtful and thought-provoking book that challenges the “new science of morality”’s view that morality is essentially biologically and socially determined. Damon and Colby argue that we all have the power to cultivate our more noble, moral possibilities. Big Ideas we explore include a quick look at our moral exemplars, moral agency, and the three virtues we want to cultivate: Truth + Humility + Faith."
Purpose,The Road to Character,,David Brooks,Philosopher's Notes,"In today’s world, the road to character has a much less defined map than the road to external success. In this thoughtful, penetrating book, New York Times op-ed columnist and author David Brooks walks us through the evolution of our culture away from a character ethic toward a society all about what he calls the “Big Me.” And, of course, he shows us the way back to character. Big Ideas we explore include résumé virtues vs. eulogy virtues, answering the summons, conquering yourself, living for holiness and becoming strongest at your weakest point."
Purpose,The Second Mountain,The Quest for a Moral Life,David Brooks,Philosopher's Notes,"David Brooks is one of the nations’ leading writers and commentators. He is an op-ed columnist for the New York Times and appears regularly on PBS NewsHour and Meet the Press. I loved his book The Road to Character. I loved this one even more. David tells us there are two mountains: The first mountain? That’s what society tells us we should pursue: all the normal trappings of success. The second mountain? That’s where the magic (and joy!) exists: where we move beyond ourselves and COMMIT (important word for this book!) to giving ourselves most fully to something bigger than ourselves. David identifies four potential commitments: to our families, to our vocations, to our faith/philosophy of life and to our communities. Ultimately, the book is intended to be a guide to the ULTIMATE quest in life: “The Quest for a Moral Life.”"
Purpose,The Great Work of Your Life,A Guide for the Journey to Your True Calling,Stephen Cope,Philosopher's Notes,"Stephen Cope is the director of the Kripalu Institute for Extraordinary Living—the largest yoga research institute in the Western world. In this great book, Stephen brings the Bhagavad Gita to life and helps us apply this ancient wisdom to our modern lives. Big Ideas include the four keys to living your dharma, creating the right conditions, dealing with difficulties, training elephants, and reducing yourself to zero!"
Purpose,Mastery,,Robert Greene,Philosopher's Notes,"Leonardo da Vinci. Charles Darwin. Wolfgang Amadeus Mozart. Martha Graham. The Wright Brothers. Jane Goodall. Benjamin Franklin. Thomas Edison. Zora Neale Hurston. What do they all have in common? Mastery. In this great book Robert Greene shows us the key components of their mastery and, most importantly, how WE can each attain our mastery in our own lives."
Purpose,Falling Upward,A Spirituality for the Two Halves of Life,"Richard Rohr, OFM",Philosopher's Notes,"Alexandra got this book for me after I told her how much I loved David Brooks’ The Second Mountain. Apparently it is recommended alongside that book on Amazon. With 1,400+ reviews, Alexandra thought I might like it. Not only did I like the book, I loved it. And, I fell in love with Richard Rohr. Father Rohr is a Franciscan priest who beautifully integrates his faith with wisdom from various perspectives. Big Ideas we explore include our main Job in life (remembering that we're light bulbs and staying screwed in!), life's two major tasks, the fact that the way UP is DOWN (hence, the title of the book: Falling Upward), the hero and the heroine and their journeys, the paradox of the ego (""You ironically need a very strong ego structure to let go of your ego""), and how to become a Serene Disciple (let God drive)."
Purpose,Self-Reliance,,Ralph Waldo Emerson,Philosopher's Notes,"Ralph Waldo Emerson. He’s the great-great-grandfather in my spiritual family tree. We named our son Emerson after this great 19th century philosopher and when I imagine the heroes whose qualities I want to emulate, he’s on the top of the list. Big Ideas we explore include: Trust thyself (every heart vibrates to that iron string!), nonconformity (and the integrity of your own mind), what must you do? (vs. what will they think?), Hobgoblins (begone), your voyage (of a thousand zigs and zags), and the Royal You (act like that now!)."
Purpose,Future Visions,The Unpublished Papers of Abraham Maslow,Dr. Edward Hoffman,Philosopher's Notes,"As you know if you’ve been following along, I love Abraham Maslow and feel a deep kinship to him and his work. We have featured two of the books he published during his lifetime: Toward a Psychology of Being and Motivation and Personality. Although this book has only ONE review on Amazon and I could only buy a used copy of it, I knew I’d love it. And, although I had already been deeply influenced by Maslow and his thinking, there was something about reading his unpublished essays and journal thoughts that made me feel that much more connected to this great man. Big Ideas we explore include Maslow’s thoughts on the “eupsychian ideal” (aka: the “eudaemonic ideal”!), the psychology of happiness (eudaimonology!!), Stoic philosophy (Maslow was a fan), vicious cultural influences (Maslow was NOT a fan!), and the Jonah Complex (ANSWER YOUR HEROIC CALL, already!!)."
Purpose,The Everyday Patriot,How to be a Great American Now,Tom Morris,Philosopher's Notes,"This is our sixth (!) Note on one of Tom Morris's books. As you know if you’ve been following, Tom Morris is one of my all-time favorite authors and at least tied for first as my favorite living philosopher. In this book, Professor Morris challenges us to reconsider what it means to be a citizen and an “everyday patriot” in the modern world—committed to upholding the virtues of our highest ideals in our everyday lives. I’m excited to explore a handful of my favorite Big Ideas, so let's jump straight in."
Purpose,How to Be a Success,The Wisdom of Yogananda,Paramahansa Yogananda,Philosopher's Notes,"This is our second Note on one of Yogananda’s books. This book is a collection of articles that appeared in Yogananda’s magazines in the 1920s and 1930s. Yogananda reminds me of an Indian, often more spiritual version of old-school Western teachers like Orison Swett Marden, James Allen, Ernest Holmes, Dale Carnegie, and Napoleon Hill. If you’re interested in seeing what a yogi who inspired Steve Jobs has to say about success, I think you might enjoy the book as much as I did."
Purpose,Life to the Fullest,A Story About Finding Your Purpose and Following Your Heart,Darrin Donnelly,Philosopher's Notes,"This is our fifth Note on Darrin Donnelly and the fifth of six books from his ""Sports for the Soul"" series. We'll be featuring the entire series. This book is a fable about a high school coach who’s doubting whether he made the right decision to stay in the small town in which he grew up and coach the same football team his father coached for decades. The most important theme: Follow your heart. Trust yourself and your authentic path. Do what YOU are here to do. Do YOUR duty. Play YOUR role as well as you can. THAT is what it means to be truly Heroic. And, that’s what this book is all about. I’m excited to share a few of my favorite Big Ideas so let’s jump straight in!"
Purpose,The Last Lecture,,Randy Pausch,Philosopher's Notes,"The Last Lecture is an inspiring handbook for life written as a follow-up to a viral talk by Randy Pausch. Randy was a Professor of Computer Science at Carnegie Mellon University. He was diagnosed with pancreatic cancer. When it became terminal, he gave his “last lecture.” The talk was recorded. It went viral. And this book was written with Jeffrey Zaslow as a follow-up. Over 20 million people have now watched that talk and, if you’re one of them, you know just how magnetically inspiring Randy is. The book features fifty-three micro chapters—each telling a different story from Randy’s life. It’s packed with wisdom and I’m excited to share some of my favorite Big Ideas so let’s jump straight in!"
Purpose,The Awakened Brain,The New Science of Spirituality and Our Quest for an Inspired Life,"Lisa Miller, Ph.D.",Philosopher's Notes,"Did you know that there’s a “Science of Spirituality”? Yep. There is. It’s fascinating. And, Lisa Miller is the pioneering researcher who created the field. This book is the distillation of her decades of work to help us apply her research to our (Heroic!) “Quests for an Inspired Life.” Lisa is also the founder and director of the Spirituality Mind Body Institute, the first Ivy League graduate program in spirituality and psychology. And, she is the New York Times bestselling author of The Spiritual Child and a professor in the clinical psychology program at Teachers College, Columbia University. As you’d expect, the book is packed with Big Ideas. I’m excited to share some of my favorites so let’s jump straight in!"
Purpose,Heroic Coach,Activate Your Heroic Potential and Empower Others to Do the Same,Brian Johnson,Philosopher's Notes,"Welcome to the Philosopher’s Note on our Heroic Coach invitation letter. Although people have told me I need to do a Note on my own book when it comes out (planning to!), this is the first Note I’ve done on my own work. (Hah!) We figured it would be fun to QUICKLY capture the power of our Heroic Coach program in the context of a Philosopher’s Note. So... Here we are. The letter is, essentially, an invitation to join our scientifically-validated 300-day program to learn how to activate your Heroic potential WHILE learning how to empower *others* to do the same so we can change the world together—starting with you and me and all of us—TODAY. In the letter, I make the VERY important distinction that, whether or not you *think* you are a “coach” ... you are. I’m excited to share exactly what the 300-day program is all about and WHY it has been so transformative for so many people, so let’s jump straight in!"
Purpose,You Owe You,"Ignite Your Power, Your Purpose, and Your Why","Eric Thomas, PhD",Philosopher's Notes,"I got this book after one of the members of our Heroic community encouraged me to spend more time exploring and sharing wisdom from Black authors. She recommended some books and told me that I’d LOVE Eric and his wisdom. Thanks, Miata! You were right! :) Eric Thomas is a FASCINATING human being. As per his bio on the back flap, he is “part coach, part preacher, all grind.” He’s one of the world’s best-known motivational speakers. Better known as ET, he’s inspired millions of people with his creative style and high-energy messages. His raw authenticity is incredibly compelling and this book is fantastic. (Get a copy .) The book is PACKED with Big Ideas and I’m excited to share some of my favorites, so let’s jump straight in!"
Purpose,Be Useful,Seven Tools for Life,Arnold Schwarzenegger,Philosopher's Notes,"Arnold Schwarzenegger is a FASCINATING human being and this is a fantastic book. I basically read it in one sitting one fine Sunday in between supporting Emerson during one of his recent chess tournaments. I watched Arnold’s inspiring documentary on Netflix so when I saw he released this book, I immediately got it, read it, and here we are. I highly recommend the book. Unless you’ve been in seclusion in the Himalayas for the last fifty years, you know who Arnold Schwarzenegger is. The young Arnold dominated the bodybuilding world then he became a leading man in Hollywood before serving for eight years as California’s 38th governor. In this book, he tells us about the seven tools he encourages us to use to create a life of deep meaning and purpose and to, in short... BE USEFUL. The book is packed with Big Ideas. I’m excited to share some of my favorites so let’s get to work."
Purpose,Life's Great Question,Discover How You Contribute To The World,Tom Rath,Philosopher's Notes,"I’m a big fan of Tom Rath and his work. And... I’m not alone. His 10 books have sold over 10 million copies. Dan Pink (author of Drive and When) calls him “One of the most successful nonfiction writers of his generation.” We featured two of his earlier books: Eat Move Sleep and Are You Fully Charged? Plus: His children’s book called The Rechargeables remains one of my all-time favorites. “Life’s Great Question” that beckons all of us (“What can I contribute?”) is beautifully framed by the Martin Luther King, Jr. quote that kicks off the book: “Life’s most persistent and urgent question is: What are you doing for others?” This book is a field manual to help us go about answering that question so we can, as per the subtitle of the book: “Discover How You Contribute to the World.” Big Ideas we explore include creating a sense of urgency in life, Purpose 2.0, connecting what we do to those we serve, undivided attention (our new secret weapon), and creating the energy to be our best."
Purpose,Die Empty,Unleash Your Best Work Every Day,Todd Henry,Philosopher's Notes,"How do you want to die? With a calm serenity knowing you gave your best or with deep regret that you never took the risks and cultivated the discipline to show up with urgency and diligence each day to create a life of deep meaning? The answer is obvious. Big Ideas we explore on how to die empty include optimism vs. wishing, the root of mediocrity, the 3 S’s of goal setting and dealing with The Lag."
Purpose,The Four Purposes of Life,Finding Meaning and Direction in a Changing World,Dan Millman,Philosopher's Notes,"Dan Millman is one of my favorite teachers and deepest inspirations. This is a super concise, quick-reading book (150 pages) in which Dan synthesizes wisdom from many of his other books—shining light on how we can engage in the four purposes of life to create meaning in an ever-changing world. Big Ideas we explore include a quick look at the 4 purposes of life, the fact that daily life is your master teacher, the required classes in the school of life (and how you’re graded), the importance of deciding to decide (then going all in), how to live happily ever after, and making every moment extraordinary."
Purpose,The Five Major Pieces to the Life Puzzle,,Jim Rohn,Philosopher's Notes,"Jim Rohn influenced a generation of self-help gurus and this book lays out his ""five major keys for the life puzzle."" We'll take a quick look at your life philosophy, what you're doing with the 86,400 ticks each day, how to finish before you start as you design your ideal life and other such goodness."
Purpose,+1 or -1 = Destiny Math,,,+1s,Abraham Maslow studied the greatest people of his generation. People like Eleanor Roosevelt and Albert Einstein.
Purpose,Ikigai,,,+1s,Do you know what the word for retirement is in Okinawa?
Purpose,Follow Your Bliss,,,+1s,The great mythologist Joseph Campbell told us to follow our bliss.
Purpose,Follow Your Grunt,,,+1s,In our last +1 we had fun exploring the ancient wisdom that led Joseph Campbell to tell us: “Follow your bliss!”
Purpose,How's Your Hedgehog?,,,+1s,"Jim Collins is arguably the greatest business thinker alive. He’s written classics like Good to Great, Built to Last and Great by Choice in which he applies rigorous research to what makes great companies great."
Purpose,100 Questions,,,+1s,In our last +1 we met our Angel’s Advocate via Michael Gelb’s great book How to Think Like Leonardo da Vinci.
Purpose,To Thine Own Self Be True,,,+1s,"William Shakespeare once told us (via Polonius in Hamlet): “This above all: to thine own self be true, And it must follow, as the night the day, Thou canst not then be false to any man.”"
Purpose,Eulogy Virtues,,,+1s,"In our last +1, we talked about the fact that the word character comes from the Greek word for “chisel.”"
Purpose,Your Dreamer + Your Doer,,,+1s,"In my interview with Barry Michels about the great book he wrote with Phil Stutz called Coming Alive, we talked about a bunch of things."
Purpose,How Are You Intelligent?,,,+1s,"In our last +1, we had fun hanging out with your Genius."
Purpose,The Definition of Hell,,,+1s,"In Getting Grit, Caroline Adams Miller walks us through the science of grit and then helps us apply it to our lives."
Purpose,Hit the Rock,,,+1s,"In our last +1, we took a quick look at Warren Buffett’s three-step goal setting process and then chatted about how it fits into our Big 3: Energy + Family + Service."
Purpose,The Decade View,,,+1s,"Matthew Kelly has written a number of great books. We have Notes on three of them: Perfectly Yourself, The Rhythm of Life and Off Balance."
Purpose,Zero-Based Thinking,,,+1s,"Brian Tracy is one of my favorite old-school self-development teachers. I can still remember listening to his CDs back in the day when I was first getting into all this stuff. And, we’ve covered a number of his books including Maximum Achievement, Eat that Frog, Goals!, Focal Point and No Excuses."
Purpose,Seeds of (Metaphorical) Corn,,,+1s,"We’re on a roll with some mindfulness wisdom via Goenka, so here’s one more story."
Purpose,The Parable of the Talents,,,+1s,"In our last +1, we talked about a wise daughter-in-law who planted her seeds and reaped a bountiful harvest."
Purpose,"Bonzai Trees, Goldfish, and You",,,+1s,Today we’re going to chat about bonzai trees and goldfish and you.
Purpose,Capacities Clamoring to Be Used,,,+1s,"As you know (and as we’ve discussed many times), Abraham Maslow once said that “What one can be, one must be.”"
Purpose,"Caterpillars, Butterflies and You",,,+1s,"In our last +1, we talked about Abraham Maslow’s wisdom and the ancient etymology of the word clamor in the context of your capacities clamoring to be used (aka you doing what you’re here to do!)."
Purpose,Your Grand Purpose,,,+1s,One of the themes we come back to again and again is the basic idea of loving what is — whether that’s via Byron Katie’s wisdom or the Stoics or the Serenity Prayer.
Purpose,The Two Goddesses of Wealth,,,+1s,"In Creating Affluence, Deepak Chopra tells a great story about two Goddesses involved in creating abundance in our lives."
Purpose,Doing What You Love,,,+1s,"In our last +1, we talked about that little thread that runs through your head. (Did you gently pull it up?)"
Purpose,"Jobs, Careers, Callings",,,+1s,"In our last +1, we talked about you starting a hypothetical new job."
Purpose,Sweeping Streets with Martin Luther King,,,+1s,"In our last +1, we talked about Martin Seligman’s ideas on the science of having a Job vs. a Career vs. a Calling. I proposed we aim to have ALL THREE such that our work involves us using our signature strengths in greatest service to the world WHILE getting paid well AND having fun mastering our chosen domain."
Purpose,How to Discover Your Mission,,,+1s,"While we’re talking about Alex Lickerman and his ideas on how to create an indestructible self while turning poison into medicine and all that goodness, let’s talk about your purpose in life."
Purpose,Wisdom from My Mom and Thomas Carlyle,,,+1s,My mom and her husband Tom recently visited.
Purpose,Making (Life) Music with Jerry Garcia,,,+1s,"On my sunrise hike/trail run this morning, I saw a guy wearing a sweet Jerry Garcia t-shirt. I waved and smiled and said “Hi!” and we had a nice little micro-Love 2.0 moment."
Purpose,Your Genius Zone - Part 2,,,+1s,"Many moons ago, very early in our +1 journey together, we talked about Gay Hendricks’ wisdom on your Genius Zone."
Purpose,Your Daimon Zone,,,+1s,"A few +1s ago, we spent some time in your Genius Zone. Today I want to revisit that wonderful spot and talk a little more about how to spend more time there."
Purpose,Your Marching Orders,,,+1s,"In our last +1, we had some fun soaking our minds in some epic “To Dare or Not to Dare” wisdom. We kicked that party off with a Søren Kierkegaard gem."
Purpose,Your Idiosyncratic Dharma,,,+1s,"In our last couple +1s, we’ve had fun exploring some wisdom gems from my recent PhilosophersNotes binge-athon."
Purpose,Your Deep Gladness,,,+1s,"In our last +1, we talked about Stephen Cope and his take on dharma."
Purpose,The Alchemist Says,,,+1s,Have you ever read The Alchemist by Paulo Coelho?
Purpose,Life’s Great Question,,,+1s,I’m a big fan of Tom Rath and his work.
Purpose,Purpose 2.0,,,+1s,"In his great little book Life’s Great Question, Tom Rath talks about how to create more meaning in our lives by creating more meaning in our work."
Purpose,How to Meaningify Your Work,,,+1s,"In our last +1, we talked about making a Purpose upgrade—going from a grand conception of one “big purpose” for life (Purpose 1.0) to finding micro-moments of purpose all day every day (Purpose 2.0)."
Purpose,The Path with Heart,,,+1s,"In our last +1, we spent some time with Carlos Castaneda and his Toltec Warrior. Today, we’re going to spend a little more time with this eccentric teacher."
Purpose,The Three Quests + U,,,+1s,"In our Mastery Series, we kick off the third session of Module II on Hero-ology with The 3 Quests + U in which I proposed that we all have THREE quests—all of which happen to start with the letter “U” which just so happens to be the patron letter of hero’s."
Purpose,Moonshots with Kennedy,,,+1s,"In our last +1, we planted some trees with John F. Kennedy."
Purpose,The Oak Sleeps in the Acorn,,,+1s,"In our last +1, we talked about doing Genius Work (vs. Mediocre Work) as we reminded ourselves that both the Romans and the Greeks had a word for our inner guiding spirit—that Optimus best within each of us."
Purpose,100 Ways to Motivate Yourself,Change Your Life Forever,Steve Chandler,Philosopher's Notes,"I’m not sure how I found this book but I’m glad I did! Steve Chandler’s awesome and this book kinda reminds me of my book: One quick, inspiring, Big Idea after another that helps us get our practical wisdom on and go out and rock it. Some of my favorites include the cure for “Intention Deficit Disorder,” Creating vs. Reacting, and the importance of replacing worry with action."
Purpose,Black Hole Focus,How Intelligent People Can Create a Powerful Purpose for Their Lives,Isaiah Hankel,Philosopher's Notes,"Black holes. Just contemplating the sheer, fierce power of them is awe-inspiring, eh? Isaiah Hankel tells us that although physicists used to think that everything got destroyed in a black hole, now they believe that it’s less about destruction and more about *transformation.* And shines some light on the power of focusing on our purpose with black hole intensity. Big Ideas we explore include sheep vs. strategists, figuring out your ikigai (= why you get up in the morning), the fascinating endurance of rats with hope, the first two steps in greatness and moving from vision to decision."
Purpose,Courageous Dreaming,How Shamans Dream the World into Being,"Alberto Villoldo, Ph.D.",Philosopher's Notes,"Alberto Villoldo is a shaman and medical anthropologist who has studied the spiritual practices of the Amazon and the Andes for over 25 years. In this book, we tap into their wisdom on how shamans dream the world into being. Big Ideas include choosing between casting yourself as a victim or a hero, letting go of perfection, cultivating mindfulness and being ready to die at any moment."
Purpose,Drive,The Surprising Truth About What Motivates Us,Daniel H. Pink,Philosopher's Notes,"Dan Pink is an incredibly engaging writer and this book is fantastic. In this book, he tackles human motivation and, as the sub-title suggests, tells us “The Surprising Truth About What Motivates Us.” Here’s his Twitter summary: “Carrots & sticks are so last century. Drive says for 21st century work, we need to upgrade to autonomy, mastery & purpose.” Big Ideas we explore include understanding Motivation 1.0, 2.0 and 3.0 along w/ how to upgrade our operating system, why Autonomy is so important, The Three Laws of Mastery and discovering our Purpose via a big question and a small one."
Purpose,Existentialism Is a Humanism,,Jean-Paul Sartre,Philosopher's Notes,"Jean-Paul Sartre was a French philosopher, novelist, playwright, and critic. He was a leading intellectual of the 20th century and the leading proponent of existentialism. This short book is a transcript of a speech Sartre gave in 1945 to address many of the critics of existentialism. It’s a *remarkably* lucid, concise exposition on the primary tenets of existentialism—even more remarkable given the fact that Sartre gave this lecture without notes. Big Ideas we explore: Anguish + its antidote, passion vs. choice, quietism vs. commitment, the stern optimism of existentialism and moral choices as a work of art."
Purpose,Harry Potter and the Deathly Hallows,,J. K. Rowling,Philosopher's Notes,"Welcome to the final installment of the magical Harry Potter series. I can’t believe how quickly Emerson and I tore through all of them—particularly this one. We begin with the seven Potters escaping the Dursley’s home, immediately getting ambushed by awaiting Death Eaters. And the thrills never cease. We lose our heroes Mad Eye Moody and Dobby. Celebrate Lupin and Tonks’ wedding and baby boy, meet the mysterious silver doe Patronus, break into Gringotts and track down the secrets of the Peverall brothers and their Deathly Hallows. Big Ideas we explore include the hero’s gift, follow your instincts, the bodhisattvic hero’s boon, and dedicating our lives to the greater good."
Purpose,Lead the Field,,Earl Nightingale,Philosopher's Notes,"Do you want to lead the field? Earl Nightingale is our guide in this old-school guide to rockin' it. Big Ideas include seeing the acres of diamonds in our own backyards, being able to immediately articulate our goal in a single sentence, seeing that if we want more we need to serve more and knowing that TODAY is the day to show up and shine!"
Purpose,Mastery,The Key to Success and Long-Term Fulfillment,George Leonard,Philosopher's Notes,"Mastery. Are you a dabbler or a hacker or an obsessive or a master? We all have elements of each and we tend to fall into particular patterns in our lives. In this Note, we'll explore George Leonard’s brilliant ideas on how to live a life of mastery, in which every moment becomes an opportunity for growth and self-expression as we embrace the practice of living masterfully."
Purpose,Maximum Achievement,Strategies and Skills That Will Unlock Your Hidden Powers to Succeed,Brian Tracy,Philosopher's Notes,"As with all of Brian Tracy’s books, this one is ridiculously packed with wisdom. He wrote it 25 years ago (25 years into his journey as a teacher). It’s based on a training program he created called The Psychology of Achievement that he taught to 1 million+ people. It’s a dense, 350-page encyclopedia of Big Ideas to help us jumbo crush it. Big Ideas we explore: the 7 ingredients of success, the Law of Substitution, mining your acres of diamonds, 7 questions that can change your life, moving from positive thinking to positive knowing, treating excusitis, and the secret sauce of achievement (hint: it’s love)."
Purpose,Off Balance,Getting Beyond the Work-Life Balance Myth to Personal and Professional Satisfaction,Matthew Kelly,Philosopher's Notes,"Matthew Kelly asks: If you had to choose between balance and satisfaction, which would you choose? Satisfaction, right? 10,000 out of 10,000 people agree. Who wants “balance” anyway? And who came up with the idea of “work-life” balance? Big Ideas we explore include figuring out what you *really* want in life, becoming the best-version-of-yourself, answering the ultimate question, mastering energy management and learning to take the decade view of your life."
Purpose,Self-Help,,Samuel Smiles,Philosopher's Notes,"Written in 1859, this is one of the classics of self-development. Smiles focuses on character development, hard work and perseverance rather than the get-it-quick-fluff found in so much of modern self-dev. In the Note, we’ll explore a bunch of Big Ideas including the power of diligence and how to make happiness a habit!"
Purpose,The Art of Possibility,Transforming Professional and Personal Life,"Benjamin Zander, Rosamund Zander",Philosopher's Notes,"The Art of Possibility. This is a great book written by the dynamic duo Rosamund Stone Zander (family therapist and landscape painter) and her husband Benjamin Zander (conductor of the Boston Philharmonic Orchestra and professor at the New England Conservatory of Music). Big Ideas include the fact that it’s all invented (so we might as well create an empowering story!), having grace as we own the risks we take, and giving yourself an A!"
Purpose,The Art of Work,A Proven Path to Discovering What You Were Meant to Do,Jeff Goins,Philosopher's Notes,"As the sub-title suggests, this book is all about “A proven path to discovering what you were meant to do.” If you’re looking for an inspiring introduction to clarifying and living your purpose, I think you’ll enjoy this book. Big Ideas we explore include a quick peek at the 7 characteristics of a Calling, why Awareness is so important, why Painful Practice is also super important, why we should be thinking “bridges” not “leaps” as we pursue our calling ad other goodness."
Purpose,The Fountainhead,,Ayn Rand,Philosopher's Notes,"Ah, The Fountainhead. It's always fun to distill a 752-page magnum opus into a 6-page PDF and 20-minute MP3. Ayn Rand is intense and this book is packed with Big Ideas. We'll explore a few of my favorites, including our responsibility to own our greatness, not live as a second-hander (someone who is over-concerned about other people’s opinion of them), love what we do and know what we want."
Purpose,The Golden Present,Daily Inspirational Readings by Sri Swami Satchidananda,Sri Swami Satchidananda,Philosopher's Notes,"Sri Swami Satchidananda was one of the world’s greatest yoga masters and teachers. This book is organized as a daily inspirational guidebook and it’s packed with 365 wisdom gems. In the Note, we explore Big Ideas ranging from the importance of being bold and strong to the power of making a lot mistakes."
Purpose,The Happiness of Pursuit,Finding the Quest That Will Bring Purpose to Your Life,Chris Guillebeau,Philosopher's Notes,Chris Guillebeau is a brilliant guy and brilliant writer. He's also traveled to every.single.country in the world. (That's 193 for those counting.) In this great book we take a look at what it means to create an awesome Quest. The why's and how's and all that. What's your Quest? Ready to rock it?
Purpose,The Monk Who Sold His Ferrari,A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin Sharma,Philosopher's Notes,"Robin Sharma is one of the top leadership coaches in the world and an all-around awesome guy. This book is a fable about a hard-charging attorney who becomes a yogi and shares his wisdom with his former protégé. It's packed with goodness. In the Note, we'll look at the ""7 Timeless Virtues of Enlightened Living,"" the importance of blue printing our ideal lives and expressing the greatness that is all of our birthrights."
Purpose,The Road to Sparta,Reliving the Ancient Battle and Epic Run That Inspired the World's Greatest Footrace,Dean Karnazes,Philosopher's Notes,"Do you know why we call our modern marathon a marathon? You may think you know the real story behind the very first marathon, but in this captivating, inspiring tale, Dean Karnazes (named by Men’s Health as one of the 100 Fittest Men of All Time) gives us a deeper look at the man who, 2,500 years ago, ran the first ULTRAmarathon and, in doing so, effectively saved Western civilization. :) Big Ideas we explore: a history lesson The Battle of Marathon, why balance doesn’t lead to happiness (and what does), a 24 Hour Fitness with Harvard profs, heroes are ready and how to play the pain game."
Purpose,The Success Principles,How to Get from Where You Are to Where You Want to Be,Jack Canfield,Philosopher's Notes,"Jack Canfield, the creator of Chicken Soup for the Soul, gives us a book packed with Big Ideas on the fundamentals of success. In the Note, we explore some of my favorites—including an awesome exercise on how to discover our purpose, the importance of taking responsibility in our lives (that's Principle #1!!!), becoming an inverse paranoid (think: “OMG the universe is out to help me!!”), and recognizing that 99% commitment to something is a bitch and 100% is a breeze."
Purpose,The Wheel of Time,"The Shamans of Ancient Mexico, Their Thoughts About Life, Death and the Universe",Carlos Castaneda,Philosopher's Notes,"This book is like a greatest hits collection of Castaneda's best passages. In the Note we'll look at the need to transcend our conditioning as we develop our personal power, the importance of choosing a path with heart (aka following your bliss), using death as an advisor and living with impeccability as we achieve no stress success."
Leadership,Leadership 101,,,101 Classes,"Leadership is all about inspiring and empowering people to do great things. In this class, we’ll explore the fact that leadership starts by leading yourself as we identify your noble purpose, chisel your foundation, create a compelling vision, embrace the process, and do what you’re here to do. We’ll also look at the power of charisma, the neuroscience of being an iconoclastic leader, and discuss the best-kept secret of leadership to help you create your legacy."
Leadership,Lead Yourself First 101,,,101 Classes,"Mike Erwin joins us as a guest teacher for this class! CEO of The Character Center, co-founder of the Positivity Project, and co-author of the book Lead Yourself First, Mike is passionate about inspiring leaders across the country. His secret sauce to leadership? Solitude! (More specifically, freedom from the input of other minds.) In this class, Mike debunks the assumption that great leaders must always be accessible and uncovers the personal + organizational benefits of leaders who seek out periods of solitude. Want the competitive advantages of clarity, creativity, emotional balance + moral courage? Get your solitude on!"
